GEO.id,ESTAB,EMP,PAYQTR1,PAYANN
8610000US02666,40,111,910,6420
8610000US02667,132,495,3656,28756
8610000US02668,94,503,2823,14074
8610000US02669,31,110,1210,6424
8610000US02670,57,269,1939,10859
8610000US02671,51,208,1314,8077
8610000US02672,10,20,104,798
8610000US02673,238,2089,17798,86447
8610000US02675,166,1261,12783,57699
8610000US02702,97,2102,21346,98186
8610000US02703,904,16187,173163,735968
8610000US02712,5,b,D,D
8610000US02713,8,20,176,833
8610000US02714,4,278,1416,6400
8610000US02715,67,369,4119,18003
8610000US02717,99,961,8168,41324
8610000US02718,109,1649,18585,82449
8610000US02719,393,7032,104887,413196
8610000US02720,751,15782,158331,674647
8610000US02721,566,8192,66899,305947
8610000US02722,52,567,6696,27006
8610000US02723,248,2964,23448,106242
8610000US02724,215,3060,25868,112901
8610000US02725,67,1688,18314,68662
8610000US02726,281,2760,22160,95676
8610000US02738,156,1876,23457,104587
8610000US02739,194,1186,8622,42847
8610000US02740,923,15731,150691,644630
8610000US02741,11,189,556,2335
8610000US02742,5,c,D,D
8610000US02743,172,2136,28439,131543
8610000US02744,178,1659,13975,60732
8610000US02745,496,8494,85252,356247
8610000US02746,302,4043,26984,122215
8610000US02747,655,11075,88241,400727
8610000US02748,212,1647,10235,49706
8610000US02760,703,8237,52679,228591
8610000US02761,19,188,1938,8699
8610000US02762,317,3798,28916,140557
8610000US02763,123,2090,18340,80590
8610000US02764,82,625,5161,21464
8610000US02766,363,6134,60292,255871
8610000US02767,506,9837,194835,646907
8610000US02768,4,63,431,2044
8610000US02769,261,1125,9709,47055
8610000US02770,85,336,2288,12208
8610000US02771,547,7261,54935,240633
8610000US02777,442,4821,35528,160108
8610000US02779,102,473,3270,15975
8610000US02780,1046,20916,269544,1129682
8610000US02790,399,2816,21451,107585
8610000US02791,6,31,218,1050
8610000US02801,4,4,147,945
8610000US02802,12,75,293,1963
8610000US02804,73,575,5186,26699
8610000US02806,351,3264,20504,90460
8610000US02807,190,355,3641,30224
8610000US02808,24,69,555,2595
8610000US02809,535,7226,54020,243543
8610000US02812,21,32,166,1167
8610000US02813,189,899,7217,38915
8610000US02814,142,884,9809,36012
8610000US02815,2,a,D,D
8610000US02816,573,6228,55792,234234
8610000US02817,155,2576,58807,202398
8610000US02818,697,9486,87519,357286
8610000US02822,152,1468,11812,55648
8610000US02823,2,b,D,D
8610000US02824,8,125,560,2542
8610000US02825,89,290,1464,9326
8610000US02826,15,105,839,6483
8610000US02827,30,107,770,3539
8610000US02828,231,2616,20359,91136
8610000US02829,13,117,477,2129
8610000US02830,107,710,4164,22911
8610000US02831,63,190,1210,6540
8610000US02832,86,539,3574,16531
8610000US02833,12,96,310,1379
8610000US02835,163,803,7184,38017
8610000US02836,3,b,D,D
8610000US02837,109,365,2724,15108
8610000US02838,46,350,2566,11855
8610000US02839,17,101,956,3866
8610000US02840,1072,12636,109809,503141
8610000US02841,30,367,6792,25069
8610000US02842,624,9190,92183,399572
8610000US02852,782,14447,175268,737292
8610000US02857,164,873,5772,27153
8610000US02858,8,68,453,2223
8610000US02859,95,1536,14907,74187
8610000US02860,983,14066,125108,528985
8610000US02861,425,5557,54567,251429
8610000US02862,11,g,D,D
8610000US02863,218,2156,16443,72424
8610000US02864,711,10243,121066,495378
8610000US02865,599,13962,180782,713563
8610000US02871,426,4545,57910,253686
8610000US02872,3,9,60,258
8610000US02873,5,5,37,199
8610000US02874,93,346,2332,13131
8610000US02875,7,25,249,1249
8610000US02876,42,622,6538,27470
8610000US02877,2,a,D,D
8610000US02878,315,2083,15900,73492
8610000US02879,650,7233,67522,295846
8610000US02880,17,109,741,3296
8610000US02881,105,1311,7460,31078
8610000US02882,405,3423,25978,131135
8610000US02883,22,260,1400,6378
8610000US02885,353,3539,29708,130295
8610000US02886,1646,32640,357384,1426880
8610000US02887,14,292,4346,14182
8610000US02888,659,7857,71322,332096
8610000US02889,399,3630,21400,97969
8610000US02891,729,7460,67243,301248
8610000US02892,109,2867,70027,248429
8610000US02893,517,7162,83546,331451
8610000US02894,12,70,488,2434
8610000US02895,797,13654,241480,671087
8610000US02896,305,3500,28963,131967
8610000US02898,79,891,5829,27172
8610000US02901,14,59,1107,3770
8610000US02902,5,90,1525,6359
8610000US02903,1649,42492,637360,2463173
8610000US02904,777,13560,133755,553089
8610000US02905,528,11055,147967,629295
8610000US02906,752,11366,118481,502328
8610000US02907,546,7602,79518,323718
8610000US02908,524,12748,155734,656495
8610000US02909,648,6291,61865,246438
8610000US02910,561,7192,63111,275925
8610000US02911,219,1528,11263,50070
8610000US02912,11,i,D,D
8610000US02914,770,10642,109097,487211
8610000US02915,345,6276,69194,290953
8610000US02916,202,3321,37720,166574
8610000US02917,573,10671,146990,577833
8610000US02918,15,g,D,D
8610000US02919,961,11599,134042,519746
8610000US02920,1193,19965,226516,929136
8610000US02921,283,4010,41568,178392
8610000US02940,14,189,950,3899
8610000US03031,421,4244,40861,189024
8610000US03032,140,1485,18655,88908
8610000US03033,82,525,5924,29617
8610000US03034,84,540,4709,25717
8610000US03036,59,216,2360,10662
8610000US03037,77,325,2096,10998
8610000US03038,650,7466,68301,296308
8610000US03041,4,23,118,577
8610000US03042,189,2753,17834,81357
8610000US03043,21,82,946,5208
8610000US03044,56,298,2341,11088
8610000US03045,247,2082,16563,71439
8610000US03046,41,159,1324,7292
8610000US03047,34,970,7784,37912
8610000US03048,58,360,2520,12233
8610000US03049,165,1272,15277,75440
8610000US03051,619,8381,82679,383200
8610000US03052,87,576,5168,28133
8610000US03053,703,12365,140832,624549
8610000US03054,734,14389,255659,1005060
8610000US03055,403,5717,54315,242730
8610000US03057,28,163,3991,15532
8610000US03060,1283,21968,203363,874211
8610000US03061,32,i,D,D
8610000US03062,452,9182,178813,666573
8610000US03063,598,11683,131117,572491
8610000US03064,257,2423,17356,82648
8610000US03070,110,527,3549,17687
8610000US03071,108,944,9389,44953
8610000US03073,4,19,253,1445
8610000US03076,285,3182,35890,154144
8610000US03077,169,2728,28995,120315
8610000US03079,1264,21719,239164,1006850
8610000US03082,25,104,1162,5583
8610000US03084,27,98,643,3002
8610000US03086,100,1069,11376,51495
8610000US03087,358,2981,26074,125241
8610000US03101,814,14208,232153,881256
8610000US03102,420,8916,90644,408880
8610000US03103,1078,24098,257828,1073323
8610000US03104,569,8128,90114,411961
8610000US03105,19,471,3139,16133
8610000US03106,463,9985,113534,476725
8610000US03108,31,848,11654,45581
8610000US03109,284,5526,84334,351218
8610000US03110,898,12525,158740,684195
8610000US03111,3,5,365,1050
